id,status,ip,latitude,longitude,send_date,reported,modified_date,email,first_name,last_name,position
XewN3,Email Opened,220.76.50.132,-26.933686,154.507338,2025-09-21T16:05:47.793815Z,False,2025-09-21T16:07:23.793815Z,nathan.moreau@entreprise.com,Nathan,Moreau,Chef de projet
P9UNT,Email Opened,99.202.136.23,69.673693,-136.554815,2025-09-21T15:49:07.793815Z,False,2025-09-21T15:50:19.793815Z,marie.dubois@entreprise.com,Marie,Dubois,RH
FUWcl,Email Opened,50.219.119.220,7.75822,-155.726997,2025-09-21T15:44:04.793815Z,False,2025-09-21T15:44:47.793815Z,hugo.laurent@entreprise.com,Hugo,Laurent,Développeur
UGarj,Email Opened,148.141.80.24,18.597013,-123.409146,2025-09-21T15:52:13.793815Z,False,2025-09-21T15:53:27.793815Z,marie.moreau@entreprise.com,Marie,Moreau,Stagiaire
dIu87,Email Opened,45.134.79.57,17.776051,175.963746,2025-09-21T16:02:45.793815Z,False,2025-09-21T16:03:42.793815Z,sophie.simon@entreprise.com,Sophie,Simon,Chef de projet
gb5XI,Email Opened,243.158.48.73,8.659143,-172.999507,2025-09-21T15:58:27.793815Z,False,2025-09-21T15:59:02.793815Z,nathan.simon@entreprise.com,Nathan,Simon,Comptable
koHM4,Email Opened,179.244.120.240,-10.692281,48.437927,2025-09-21T16:08:08.793815Z,True,2025-09-21T16:08:18.793815Z,clara.michel@entreprise.com,Clara,Michel,Chef de projet
PAJzI,Email Sent,,0,0,2025-09-21T15:55:08.793815Z,False,2025-09-21T15:55:54.793815Z,marie.garcia@entreprise.com,Marie,Garcia,RH
apPnj,Submitted Data,138.15.26.72,-72.457618,-76.349904,2025-09-21T15:53:46.793815Z,False,2025-09-21T15:55:43.793815Z,thomas.martin@entreprise.com,Thomas,Martin,Technicien
f81ty,Email Opened,15.176.140.4,45.536429,-55.282697,2025-09-21T16:17:24.793815Z,True,2025-09-21T16:19:21.793815Z,emma.laurent@entreprise.com,Emma,Laurent,Technicien
r4qLo,Email Opened,51.182.108.111,78.641173,145.217472,2025-09-21T15:39:48.793815Z,True,2025-09-21T15:40:21.793815Z,lucas.durand@entreprise.com,Lucas,Durand,Comptable
u95Rv,Email Opened,155.40.221.242,-27.486128,-176.553233,2025-09-21T15:56:35.793815Z,False,2025-09-21T15:57:23.793815Z,sophie.moreau@entreprise.com,Sophie,Moreau,Technicien
Cyvpy,Email Opened,128.148.76.38,11.100467,-52.327797,2025-09-21T16:07:50.793815Z,False,2025-09-21T16:08:35.793815Z,emma.durand@entreprise.com,Emma,Durand,Stagiaire
GBtt1,Submitted Data,235.116.212.104,73.681153,71.00212,2025-09-21T15:47:08.793815Z,False,2025-09-21T15:47:57.793815Z,marie.lefevre@entreprise.com,Marie,Lefevre,Directeur
U1hGX,Submitted Data,211.43.246.23,63.424821,-49.900665,2025-09-21T15:53:15.793815Z,False,2025-09-21T15:53:31.793815Z,lucas.martin@entreprise.com,Lucas,Martin,RH
W9XvO,Submitted Data,204.80.219.191,66.850229,141.478187,2025-09-21T15:37:58.793815Z,False,2025-09-21T15:38:14.793815Z,hugo.garcia@entreprise.com,Hugo,Garcia,Directeur
MToJa,Submitted Data,145.98.98.29,17.524202,121.54628,2025-09-21T15:47:27.793815Z,False,2025-09-21T15:48:15.793815Z,julien.michel@entreprise.com,Julien,Michel,Comptable
zWxyh,Email Opened,204.142.55.44,-82.771239,141.626713,2025-09-21T16:22:48.793815Z,True,2025-09-21T16:24:13.793815Z,thomas.dubois@entreprise.com,Thomas,Dubois,Développeur
67usB,Clicked Link,75.200.239.122,-28.224598,95.82322,2025-09-21T15:38:58.793815Z,False,2025-09-21T15:39:53.793815Z,paul.lefevre@entreprise.com,Paul,Lefevre,Directeur
LqJW9,Email Opened,226.138.64.167,33.234571,36.149725,2025-09-21T16:17:21.793815Z,False,2025-09-21T16:17:48.793815Z,clara.garcia@entreprise.com,Clara,Garcia,Chef de projet
QrWU5,Email Opened,70.25.75.253,27.089377,49.437965,2025-09-21T16:24:46.793815Z,False,2025-09-21T16:25:32.793815Z,thomas.garcia@entreprise.com,Thomas,Garcia,Chef de projet
vsY1X,Clicked Link,113.155.45.112,-80.33159,-41.11277,2025-09-21T15:46:17.793815Z,False,2025-09-21T15:47:19.793815Z,marie.laurent@entreprise.com,Marie,Laurent,RH
CdrDK,Email Opened,207.36.180.26,-52.71498,164.028785,2025-09-21T15:56:11.793815Z,True,2025-09-21T15:56:49.793815Z,marie.dubois@entreprise.com,Marie,Dubois,Directeur
DzhD1,Email Opened,57.119.85.123,17.44419,-24.734568,2025-09-21T16:05:38.793815Z,False,2025-09-21T16:07:17.793815Z,paul.simon@entreprise.com,Paul,Simon,Chef de projet
FKVoK,Clicked Link,50.170.60.121,-16.990548,46.656123,2025-09-21T15:38:27.793815Z,False,2025-09-21T15:39:16.793815Z,marie.dubois@entreprise.com,Marie,Dubois,Commercial
F8Nie,Email Opened,77.20.78.31,-72.29116,-142.5252,2025-09-21T15:48:01.793815Z,False,2025-09-21T15:48:24.793815Z,lucas.durand@entreprise.com,Lucas,Durand,RH
t3vJ9,Email Opened,67.153.235.8,-37.328829,34.30619,2025-09-21T16:10:24.793815Z,True,2025-09-21T16:10:30.793815Z,hugo.durand@entreprise.com,Hugo,Durand,Stagiaire
